frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,se_current_mu_hat,mean_current_sigma_hat,se_current_sigma_hat,mean_future_mu_hat,se_future_mu_hat,mean_future_sigma_hat,se_future_sigma_hat,mean_expected_cum_bps,se_expected_cum_bps,mean_realized_cum_bps,se_realized_cum_bps,mean_realized_max_up_bps,se_realized_max_up_bps,mean_realized_max_down_bps,se_realized_max_down_bps,mean_realized_max_abs_bps,se_realized_max_abs_bps
daily,drifting,exclusive_location,none,4,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0012392445469275634,0.0006494052018117133,0.01868088269537668,0.0006352242611640094,72.80624787369334,11.973262811404803,43.416756651504954,25.771625007477862,243.61790298272592,17.986215089404038,-202.00687631506835,13.897555725567,411.09637871475167,17.067952520859357
daily,drifting,exclusive_location,none,5,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0009851184594832473,0.0005897008401359459,0.019695472763609414,0.0006949921720154775,91.82407179610274,14.987992173120135,74.21984081580847,27.997746822518252,294.6017053225056,19.664228525953703,-234.95448988496466,15.71695524216514,478.04487780742613,18.461026479190586
daily,drifting,exclusive_location,none,6,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.001124473193536117,0.0005472734671124522,0.020369091400439264,0.0007222657035054361,111.17118029474955,18.01225724553371,79.87333177757985,30.478098286331683,337.0018241610593,20.759918488709843,-266.70837712546654,18.3521927262133,540.2419512100366,20.0186573029699
daily,drifting,exclusive_location,none,7,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0013542456641737251,0.0005097500663630864,0.0203073500863122,0.0006817221857703444,130.84902266912755,21.04654923356236,101.8896878527781,34.0965547572479,381.674305951438,22.14269339423747,-297.0634911870805,20.678371457285692,603.6123309160376,21.64615527534613
daily,drifting,exclusive_location,none,8,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0015170036385279034,0.00046553157785716835,0.02060136410242122,0.000667785114664728,150.85908255567813,24.091363006593248,127.92426643652877,35.97891573581195,421.58368291159474,23.128638293505603,-315.7317687243341,22.201962624321617,651.0783430881074,22.726778343268414
daily,drifting,exclusive_location,none,9,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0014217305789542213,0.00045397634760514555,0.02099909653003095,0.0006881923850536767,171.202878182007,27.147197218979695,155.35997607514648,37.77502827168215,463.3523547531988,24.934013686630397,-332.0198643566258,23.158155270205885,697.843203260049,24.19974689500539
daily,drifting,exclusive_location,none,10,330,0.0017553017341194067,0.00029777852951170543,0.02190950869153635,0.0005138263238919855,0.0013110558998378696,0.0004405364596094572,0.021049888381766694,0.000662409174596663,191.8819626269788,30.214554431997197,168.419786379423,42.14423585882059,509.8475514307313,27.95952913863042,-356.27531009554434,24.515282046076084,753.8725826401422,26.995736938920622
daily,drifting,imbalance_side,above_mid_imbalance,1,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.008615858316432856,0.013502857597667386,0.01109002012070745,0.003418485768786358,50.37256191107194,6.516161418359052,54.71809613686151,34.50547242398022,59.35622649310079,31.393960619535537,-4.638130356239278,4.638130356239278,63.99435684934007,28.697707329380393
daily,drifting,imbalance_side,above_mid_imbalance,2,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.012619796096957625,0.004118565977094598,0.0181190315254703,0.00465758991461456,101.01160142938139,13.105919663663068,181.87017234716077,155.17639309011147,230.5744875235216,126.37131636441477,-42.72949929962216,29.207071060755375,267.3291709464051,106.22462499826186
daily,drifting,imbalance_side,above_mid_imbalance,3,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.010445363553591935,0.008060698328604487,0.019709131969072397,0.0023738991791690295,151.91860474114043,19.769910351985963,325.1195171730109,101.40072654676163,345.18158137485267,106.7323761369919,-42.72949929962216,29.207071060755375,350.7021650533562,101.21351461466946
daily,drifting,imbalance_side,above_mid_imbalance,4,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.00868430536503062,0.006526118940176774,0.01892207468852834,0.0021012944559487515,203.09506676016474,26.508774066773288,358.7058710808794,234.4294879589978,479.39561339402195,164.06225268604024,-97.60140539299022,63.451616148819646,539.7881031658936,110.77969852891765
daily,drifting,imbalance_side,above_mid_imbalance,5,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.0043540165470898895,0.006002326769924684,0.01845788810982513,0.0021859164960086517,254.54249118152285,33.3231563958301,375.68059076834527,267.8675994444439,494.16457578868864,169.60430252617277,-131.91462652195173,95.2394496159194,588.8702866895218,90.10038905110825
daily,drifting,imbalance_side,above_mid_imbalance,6,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.005809552754555119,0.005482707556812522,0.017431122876136358,0.0020514856375642276,306.26239053552797,40.213707968576934,322.943979913248,309.11171685221456,535.1393517505421,173.1932603752661,-176.49731959185928,138.35506080286808,674.4277557212828,45.094561432021365
daily,drifting,imbalance_side,above_mid_imbalance,7,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.00494660657030997,0.0044557076899575734,0.017355469125414802,0.0019177061348929479,358.25628624207394,47.1810844935764,381.1749872522519,338.6574208273721,580.020438774479,190.41209860397632,-183.080505946987,144.79692445229742,725.8920291003474,59.73701989055115
daily,drifting,imbalance_side,above_mid_imbalance,8,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.004011274631071482,0.003794404482282718,0.01690618825887225,0.0018329374283226805,410.52570866531795,54.225946796331215,395.60639611809614,310.5110893950439,598.4883134057584,200.6481802307874,-183.080505946987,144.79692445229742,744.3599037316267,75.99656342421852
daily,drifting,imbalance_side,above_mid_imbalance,9,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.004625658151624067,0.0037258699597478347,0.017834926738958982,0.002462415009075881,463.07219716871276,61.34896085735703,389.10715251199827,304.7272402316731,616.6147071790019,212.01448518614495,-183.080505946987,144.79692445229742,762.4862975048702,93.29081819804222
daily,drifting,imbalance_side,above_mid_imbalance,10,4,0.005023981633162946,0.0006479573642421427,0.028207008406509537,0.006974688808773882,0.004890055656856696,0.003474743205515038,0.017265526355072894,0.0022948124557658467,515.8973001703895,68.55079785053057,506.2694531592301,348.9942425984354,700.6441239388428,239.5238245873329,-183.080505946987,144.79692445229742,846.515714264711,113.81136852257804
daily,drifting,imbalance_side,below_mid_imbalance,1,3,0.004035627157290951,0.001853955694062678,0.016605266837282657,0.002323621032204226,0.01477059947959436,0.008601469585266194,0.008775701204052399,0.002138573206719008,40.47230515807723,18.599966743834866,37.78755452371163,121.81530415762029,93.30179279162094,93.30179279162094,-55.51423826790932,30.889574827533952,148.81603105953025,66.93140081680079
