frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,se_current_mu_hat,mean_current_sigma_hat,se_current_sigma_hat,mean_future_mu_hat,se_future_mu_hat,mean_future_sigma_hat,se_future_sigma_hat,mean_expected_cum_bps,se_expected_cum_bps,mean_realized_cum_bps,se_realized_cum_bps,mean_realized_max_up_bps,se_realized_max_up_bps,mean_realized_max_down_bps,se_realized_max_down_bps,mean_realized_max_abs_bps,se_realized_max_abs_bps
daily,detectable_upward_drift,exclusive_location,below_mid_only,10,3,0.003782644505946719,0.0012883070599037857,0.011505799777796429,0.000576535885364417,-0.0006648983878989453,0.0005539315624269215,0.01714117833100573,0.0014044238075641329,387.2270210521117,133.0538331190713,-264.5857839105474,166.71744202665792,180.80498720690025,180.80498720690025,-516.521919744524,281.29447626085476,692.224776408209,148.09819756049157
daily,detectable_upward_drift,exclusive_location,none,1,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.0013459960111849546,0.0012800559349289795,0.012635951587531174,0.0007617210753050515,85.01089915132543,12.674206898771898,21.77296387232462,11.993835902546731,80.42831269681179,8.73963062662437,-58.65534882448717,6.085650742816283,139.08366152129898,9.10936206600238
daily,detectable_upward_drift,exclusive_location,none,2,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.0010429629789046949,0.0009142849803836924,0.015270875805262972,0.0007400939948126402,175.72418473600177,27.010864366224304,39.179739505596665,18.473270594211858,145.0236425230717,13.441228693255535,-108.18749960405378,9.391738590215041,244.04295254742468,13.41218410566577
daily,detectable_upward_drift,exclusive_location,none,3,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.001103946508120828,0.0007515673009556537,0.016606065849375826,0.0006929865051019184,272.8410999599486,43.22865057715245,49.51459776229694,22.478729675892534,194.8117560639901,17.071909620354166,-144.5041212287777,11.215585189566966,319.40633891317566,16.44486185257492
daily,detectable_upward_drift,exclusive_location,none,4,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.001302187627978016,0.0006479305863963655,0.017265379879454586,0.000645633734673636,377.15345899024436,61.574602093329595,62.885397541122,26.50153382927487,244.51885664542644,19.829413100130026,-178.0764516464569,12.995195919848722,389.8256618073577,18.77516824924147
daily,detectable_upward_drift,exclusive_location,none,5,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.001357048663673315,0.0005503571878410865,0.01781599954319198,0.0006256437836730954,489.55539437967286,82.3277941912268,85.90981306976563,28.466844826861987,290.37595677855074,21.125691804795984,-207.90101047573785,14.553585362203979,451.80042669143785,19.66629308084788
daily,detectable_upward_drift,exclusive_location,none,6,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.0014913855676592454,0.0004906474104720667,0.01817031085401482,0.0006058697994580442,611.0566296550005,105.80350135223865,107.76582421843044,29.932596006779157,331.25164774338225,21.97577962800728,-229.96764094422858,15.954827651467966,505.4574053526062,20.13739370847497
daily,detectable_upward_drift,exclusive_location,none,7,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.0014687645762952348,0.0004463786712354098,0.018316470329060613,0.0005753046390301796,742.7974752163263,132.35790063828452,130.07120617733585,31.779324623617946,370.8531064233143,22.70877557111509,-251.8095029596597,17.198602887625963,555.3327361722385,20.540244563978135
daily,detectable_upward_drift,exclusive_location,none,8,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.001629946860057286,0.00042332376872092277,0.018811287337765322,0.0006033005204021517,886.0657714548271,162.39338885293398,143.4050102410806,32.85732575966049,406.51465225229936,23.33623020164602,-271.51485793524625,18.400391922781345,602.0348791787602,20.784175148755182
daily,detectable_upward_drift,exclusive_location,none,9,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.001747415981082573,0.00040020206043394035,0.019004269100036775,0.0005980430313613865,1042.316032107285,196.36459363399698,174.7516939956518,36.36536209319288,456.74428663378256,26.864471426598072,-289.98440565565295,19.3391992756004,659.179166350766,23.869146001748135
daily,detectable_upward_drift,exclusive_location,none,10,311,0.008237293164072429,0.0011909448825505996,0.03925095487023549,0.0058603454966280576,0.0016678478738032477,0.00038151660021155346,0.019116184290628647,0.0005792377065328291,1213.1910737641522,234.78516907822757,200.856488283002,39.66199478014121,498.0256178589896,29.752055366676117,-305.1031428251425,20.03104388645207,704.0430067816731,26.51837534398653
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,1,1,0.0023210217333220064,,0.015739625982185836,,0.01983485929729145,,0.005597698641708941,,23.237173894206315,,32.48884953625186,,32.48884953625186,,0.0,,32.48884953625186,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,2,1,0.0023210217333220064,,0.015739625982185836,,0.009263398620593223,,0.009935635194898375,,46.528344413471594,,201.5766233662819,,201.5766233662819,,0.0,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,3,1,0.0023210217333220064,,0.015739625982185836,,0.0012269886775930774,,0.01358923172116273,,69.87363703069244,,163.0912177577204,,201.5766233662819,,0.0,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,4,1,0.0023210217333220064,,0.015739625982185836,,-0.0011899495692571094,,0.014209238965804062,,93.27317751032905,,20.98400266349998,,201.5766233662819,,0.0,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,5,1,0.0023210217333220064,,0.015739625982185836,,-0.0001826435566757212,,0.01370540105373105,,116.72709190908262,,-28.691481830350753,,201.5766233662819,,-28.691481830350753,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,6,1,0.0023210217333220064,,0.015739625982185836,,0.0014872828099824116,,0.014502949363356592,,140.23550657657458,,-76.92245664357777,,201.5766233662819,,-76.92245664357777,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,7,1,0.0023210217333220064,,0.015739625982185836,,0.0025135806528294885,,0.01397049810979923,,163.7985481560271,,51.97014285365009,,201.5766233662819,,-76.92245664357777,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,8,1,0.0023210217333220064,,0.015739625982185836,,0.0046366385430542945,,0.014072325395515119,,187.41634358494542,,161.63970855979093,,201.5766233662819,,-76.92245664357777,,201.5766233662819,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,9,1,0.0023210217333220064,,0.015739625982185836,,0.005005220445870349,,0.01433876634546814,,211.0890200958017,,447.56314914299986,,447.56314914299986,,-76.92245664357777,,447.56314914299986,
daily,detectable_upward_drift,imbalance_side,above_mid_imbalance,10,1,0.0023210217333220064,,0.015739625982185836,,0.0032431092371057344,,0.014286415494726553,,234.81670521672035,,432.1762892149028,,447.56314914299986,,-76.92245664357777,,447.56314914299986,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,1,1,0.0012421585766491528,,0.011081794325311062,,-0.01784142907746578,,0.015028674475444705,,12.429303751462166,,-376.69824530450535,,0.0,,-376.69824530450535,,376.69824530450535,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,2,1,0.0012421585766491528,,0.011081794325311062,,-0.012831652692942175,,0.013185003459526834,,24.87405626209894,,-441.8594108518592,,0.0,,-441.8594108518592,,441.8594108518592,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,3,1,0.0012421585766491528,,0.011081794325311062,,-0.005415308588861893,,0.014229739962223303,,37.33427673364237,,-545.8448155732509,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,4,1,0.0012421585766491528,,0.011081794325311062,,-0.006422268763448535,,0.013762349232566517,,49.80998439169089,,-420.80277178548897,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,5,1,0.0012421585766491528,,0.011081794325311062,,0.0024877225586951825,,0.018825409670361695,,62.30119848573904,,-506.7085645494129,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,6,1,0.0012421585766491528,,0.011081794325311062,,0.0028332939703166935,,0.017758969681877877,,74.80793828920716,,-108.1049997794381,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,7,1,0.0012421585766491528,,0.011081794325311062,,0.00047359091550307805,,0.01739708481989844,,87.33022309947103,,-125.19580023050092,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,8,1,0.0012421585766491528,,0.011081794325311062,,0.0024181434464244367,,0.016728013717126403,,99.86807223789184,,-231.08204290624545,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,9,1,0.0012421585766491528,,0.011081794325311062,,0.00012272624257637766,,0.016642374986955297,,112.42150504984578,,-126.24235675425366,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,below_mid_imbalance,10,1,0.0012421585766491528,,0.011081794325311062,,-0.00023274559722947784,,0.016158885875676574,,124.99054090475404,,-244.8743217098859,,0.0,,-545.8448155732509,,545.8448155732509,
daily,detectable_upward_drift,imbalance_side,neutral,1,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0013433575037642932,0.0012722165753327635,0.01258747075030834,0.0007576094376070112,84.79138826301975,12.59405662912017,20.463141673572135,11.9881135678135,79.9772829621792,8.689646868447046,-59.51414128860706,6.139503101334011,139.49142425078625,9.093517204272993
daily,detectable_upward_drift,imbalance_side,neutral,2,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0010817473471022164,0.0009094225386490285,0.01522811834984465,0.000736048872252698,175.25037466457405,26.840100412663407,38.21211850684465,18.401405646630955,144.5237005885133,13.363285532475414,-108.72979270217004,9.380256907853084,244.14388639200303,13.338782846214547
daily,detectable_upward_drift,imbalance_side,neutral,3,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0011296088338391469,0.0007470954296941936,0.01656246622889295,0.0006892734684784313,272.0737300657853,42.95543345705422,48.8079375609443,22.392126908806265,194.44532940535365,16.97602408153421,-144.84942210103327,11.182626547252125,319.512430624428,16.34212382757911
daily,detectable_upward_drift,imbalance_side,neutral,4,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0013347710233934395,0.0006444013387505095,0.017215973963614337,0.0006424607772015129,376.0482176042054,61.18553770174821,62.708992133980914,26.367691811339093,244.03441431139606,19.72025689223435,-178.20723283553238,12.943580150430922,389.681391374764,18.655773657757557
daily,detectable_upward_drift,imbalance_side,neutral,5,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.001388958514099076,0.0005475440045853043,0.017774846017855478,0.0006224208200980495,488.0622650551728,81.80773207508632,85.66141834604517,28.332925361535896,289.83128535021325,21.014523809401382,-207.8412194039234,14.488391396428275,451.49293889136794,19.54165698794127
daily,detectable_upward_drift,imbalance_side,neutral,6,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0014897944480510646,0.0004886579844898757,0.018140707438026267,0.0006026283600286145,609.119152611444,105.13530678955601,107.12399181898708,29.82370585956986,330.6920888403817,21.866532677304107,-230.00849707696997,15.888788735597537,505.29500854614906,20.008869932684302
daily,detectable_upward_drift,imbalance_side,neutral,7,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0014591402881039574,0.00044476090666333153,0.018284563220843257,0.0005723431917318785,740.3519129623274,131.5221971043002,128.737139800584,31.714790033039087,370.21639316061163,22.60126573318687,-252.43639215860546,17.1674518151534,555.753134940499,20.41405244513933
daily,detectable_upward_drift,imbalance_side,neutral,8,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0015899222745193627,0.0004220833030181307,0.01879903941858596,0.0005994967705015938,883.0401661489246,161.36826700848482,140.81095896347676,32.82970466869634,405.65006968717506,23.227359770297838,-272.6899281511677,18.41711973363401,602.830955526099,20.675614281812443
daily,detectable_upward_drift,imbalance_side,neutral,9,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0017261719853603728,0.0003979385613421845,0.018999028607132675,0.0005943427603828226,1038.6291405971326,195.12528246668816,170.42829357503956,36.32809850711941,455.5587479384252,26.733845264048743,-291.3382463340843,19.364775340154214,659.8579880151425,23.742681773196733
daily,detectable_upward_drift,imbalance_side,neutral,10,313,0.008216945523858519,0.001183411203082701,0.039075024184189504,0.005824165183482838,0.0016515092670273703,0.00037926370783826296,0.01910667236926994,0.0005756508367984372,1208.7511644182205,233.30366425632906,197.81944033863212,39.48799385003387,496.57630068934975,29.604795807025592,-306.36037815424805,20.04393584203701,704.4351585391428,26.36942998121314
daily,detectable_upward_drift,volume_level,high_volume,1,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.011868561580929528,0.005972867496536251,0.010369849972142426,0.004658824503302279,29.672131623160052,17.242827871697884,-381.4054921115029,4.707246806997517,0.0,0.0,-381.4054921115029,4.707246806997517,381.4054921115029,4.707246806997517
daily,detectable_upward_drift,volume_level,high_volume,2,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.006492294883821859,0.006339357809120316,0.012142098587352095,0.0010429048721747383,59.46203829712762,34.58798203502867,-399.96538198970364,41.89402886215555,0.0,0.0,-413.9860748851798,27.873335966679402,413.9860748851798,27.873335966679402
daily,detectable_upward_drift,volume_level,high_volume,3,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0017116041822341128,0.00370370440662778,0.012919346572692687,0.0013103933895306167,89.37024592504702,52.03596919140464,-471.46611552340175,74.37870004984913,0.0,0.0,-471.46611552340175,74.37870004984913,471.46611552340175,74.37870004984913
daily,detectable_upward_drift,volume_level,high_volume,4,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0018728313870148838,0.0045494373764336515,0.01228253134225312,0.0014798178903133972,119.39728284422569,69.58729845253478,-343.82706593887644,76.9757058466125,0.0,0.0,-471.46611552340175,74.37870004984913,471.46611552340175,74.37870004984913
daily,detectable_upward_drift,volume_level,high_volume,5,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,0.0025654678582788474,7.774529958366467e-05,0.016431010702843647,0.0023943989675180473,149.54367983751328,87.24248135177423,-411.4531217109169,95.25544283849607,0.0,0.0,-471.46611552340175,74.37870004984913,471.46611552340175,74.37870004984913
daily,detectable_upward_drift,volume_level,high_volume,6,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0016669523472725805,0.004500246317589274,0.017699753771415125,5.9215910462751674e-05,179.8099701447332,105.00203185552604,-290.41412560798005,182.30912582854197,0.0,0.0,-509.28403350488645,36.560782068364425,509.28403350488645,36.560782068364425
