trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2021-08-13,2021-08-13,229,1.0,1,0.0008340701118964064,1,0.0008340701118964064,-0.0024567165049601187,2.696632745930026e-06,2.696632745930026e-06,-1.4960432244836763,1.4960432244836763,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0008340701118964064,0.00985440844251304,63
2021-08-16,2021-08-16,272,1.0,1,0.0005154948853287388,1,0.0005154948853287388,-3.9018589549013596e-05,1.5278882084195702e-06,1.5278882084195702e-06,-0.03156645242838195,0.03156645242838195,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0005154948853287388,0.010147593441510944,63
2021-08-17,2021-08-17,285,1.0,1,8.171261842423609e-05,1,8.171261842423609e-05,-0.0072027218093425795,1.3376232081901857e-05,1.3376232081901857e-05,-1.96938100015661,1.96938100015661,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,8.171261842423609e-05,0.009582790056920774,63
2021-08-18,2021-08-18,267,1.0,1,-0.0002886305311774632,-1,0.0002886305311774632,-0.007300788827172187,8.63528527437883e-06,8.63528527437883e-06,-2.4844567570406655,2.4844567570406655,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0002886305311774632,0.009470609160308454,63
2021-08-19,2021-08-19,261,1.0,1,-0.0012606867971133044,-1,0.0012606867971133044,-0.010298709063262378,1.0832551264731511e-05,1.0832551264731511e-05,-3.1290853774103042,3.1290853774103042,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0012606867971133044,0.010192287373343234,63
2021-08-20,2021-08-20,191,1.0,1,-0.0008570644915414318,-1,0.0008570644915414318,-0.0064932570901991915,2.7258873013338686e-06,2.7258873013338686e-06,-3.9328614787603104,3.9328614787603104,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;missing_timestamps;nan_or_inf_returns,-0.0008570644915414318,0.010293112142966335,63
2021-08-23,2021-08-23,246,1.0,1,-9.601039080363636e-05,-1,9.601039080363636e-05,-0.005590765757843917,4.344246263993564e-06,4.344246263993564e-06,-2.6823415588972446,2.6823415588972446,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-9.601039080363636e-05,0.010743545559164038,63
2021-08-24,2021-08-24,281,1.0,1,0.0009239311729329374,1,0.0009239311729329374,-0.003980643675185962,1.6791398617478437e-06,1.6791398617478437e-06,-3.0719197626904133,3.0719197626904133,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0009239311729329374,0.010840009580233774,63
2021-08-25,2021-08-25,273,1.0,1,0.002364056508760751,1,0.002364056508760751,-0.001969854895007191,7.981722579160127e-07,7.981722579160127e-07,-2.2048848913545323,2.2048848913545323,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.002364056508760751,0.00945633520811411,63
2021-08-26,2021-08-26,283,1.0,1,0.0007589090503640683,1,0.0007589090503640683,-0.011809400332619655,1.5118900372322633e-05,1.5118900372322633e-05,-3.0371604972800004,3.0371604972800004,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0007589090503640683,0.009251228379470356,63
2021-08-27,2021-08-27,296,1.0,1,0.0006963452421264939,1,0.0006963452421264939,-0.0063629756973578085,2.7909181677259815e-06,2.7909181677259815e-06,-3.8087872365118365,3.8087872365118365,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0006963452421264939,0.009061856604071543,63
2021-08-30,2021-08-30,326,1.0,1,0.0014425290391611842,1,0.0014425290391611842,-0.005479418215054693,1.2614682592179806e-06,1.2614682592179806e-06,-4.878612064346948,4.878612064346948,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0014425290391611842,0.008837310770920287,63
2021-08-31,2021-08-31,314,1.0,1,0.0014440334786258936,1,0.0014440334786258936,-0.005619197735006259,1.657047819374072e-06,1.657047819374072e-06,-4.365226611052731,4.365226611052731,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0014440334786258936,0.00879646995199776,63
2021-09-01,2021-09-01,321,1.0,1,0.002231911086246118,1,0.002231911086246118,-0.004441126974371535,2.066709603055725e-06,2.066709603055725e-06,-3.089252888052747,3.089252888052747,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.002231911086246118,0.00892470356754666,63
2021-09-02,2021-09-02,282,1.0,1,0.0016840584917435309,1,0.0016840584917435309,-0.004946954405782952,1.1661327313001529e-06,1.1661327313001529e-06,-4.581038217920758,4.581038217920758,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0016840584917435309,0.008927619370629069,63
2021-09-03,2021-09-03,299,1.0,1,0.0019950890678135593,1,0.0019950890678135593,-0.0026802771279040172,6.153715393429846e-07,6.153715393429846e-07,-3.4167326447849593,3.4167326447849593,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0019950890678135593,0.00887461137291846,63
2021-09-07,2021-09-07,307,1.0,1,0.0023875271452337833,1,0.0023875271452337833,-0.0023732663899280484,1.0902837673854125e-06,1.0902837673854125e-06,-2.272881091777993,2.272881091777993,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0023875271452337833,0.008828563734570673,63
2021-09-08,2021-09-08,290,1.0,1,0.0012383080157033753,1,0.0012383080157033753,-0.003143647734431593,3.345808408842568e-06,3.345808408842568e-06,-1.7186337674776886,1.7186337674776886,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0012383080157033753,0.009201352695464916,63
2021-09-09,2021-09-09,287,1.0,1,0.001490489913921655,1,0.001490489913921655,-0.005087479099069971,3.326289735964216e-06,3.326289735964216e-06,-2.7894758136314795,2.7894758136314795,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.001490489913921655,0.009129309774683925,63
