frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,mean_current_sigma_hat,mean_future_mu_hat,mean_future_sigma_hat,mean_realized_cum_bps,mean_realized_max_up_bps,mean_realized_max_down_bps
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,12,2,0.05689342050329746,0.30704919779506035,2.485707559388961e-05,0.0013065262716554372,95.71946921263897,95.71946921263897,95.71946921263897
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,13,2,0.05689342050329746,0.30704919779506035,1.1255744482913216e-05,0.0013289629992132574,108.2221399400668,108.2221399400668,108.2221399400668
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,1,3,0.041496056866023194,0.2091695679351595,-6.976134543338712e-05,0.001297335507611354,33.596069225964776,33.596069225964776,33.596069225964776
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,2,3,0.041496056866023194,0.2091695679351595,-4.1051312417275356e-05,0.0010875308605052569,27.497570966456,27.497570966456,27.497570966456
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,3,3,0.041496056866023194,0.2091695679351595,-2.967169650857288e-05,0.0009572971913154364,23.361918021874335,23.361918021874335,23.361918021874335
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,4,3,0.041496056866023194,0.2091695679351595,-2.2575263626602017e-05,0.000865976454643225,21.911493634535116,21.911493634535116,21.911493634535116
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,5,3,0.041496056866023194,0.2091695679351595,-4.288054103285353e-05,0.0008243119046022519,14.881198849217379,14.881198849217379,14.881198849217379
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,6,3,0.041496056866023194,0.2091695679351595,-5.088313504377032e-05,0.0007887139298750457,5.032254369265279,5.032254369265279,5.032254369265279
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,7,3,0.041496056866023194,0.2091695679351595,-4.964928914220359e-05,0.0007573552007030505,-6.172630660304193,-6.172630660304193,-6.172630660304193
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,8,3,0.041496056866023194,0.2091695679351595,-5.0563281143663055e-05,0.000747426550883379,-24.513641000257397,-24.513641000257397,-24.513641000257397
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,9,3,0.041496056866023194,0.2091695679351595,-4.146289041504739e-05,0.0007326900635605863,-32.957004286825835,-32.957004286825835,-32.957004286825835
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,10,3,0.041496056866023194,0.2091695679351595,-4.409316194020285e-05,0.0007228560068704742,-39.01409841282622,-39.01409841282622,-39.01409841282622
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,11,3,0.041496056866023194,0.2091695679351595,-4.6760891559817685e-05,0.000705389446171489,-51.32295173525389,-51.32295173525389,-51.32295173525389
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,12,3,0.041496056866023194,0.2091695679351595,-4.791672527563637e-05,0.0006850526279683068,-58.937311550455085,-58.937311550455085,-58.937311550455085
daily_zoom,no_detectable_drift,exclusive_location,below_mid_only,13,3,0.041496056866023194,0.2091695679351595,-4.94214498620089e-05,0.0006749485054437137,-68.69459328578002,-68.69459328578002,-68.69459328578002
daily_zoom,no_detectable_drift,exclusive_location,none,1,470,0.0017478807760723275,0.024347528372748034,-1.3788608367329936e-06,0.0013870713143034987,350.91708797209327,350.91708797209327,350.91708797209327
daily_zoom,no_detectable_drift,exclusive_location,none,2,470,0.0017478807760723275,0.024347528372748034,1.0675833343591854e-06,0.0011685957604891052,350.33324096354033,350.33324096354033,350.33324096354033
daily_zoom,no_detectable_drift,exclusive_location,none,3,470,0.0017478807760723275,0.024347528372748034,-2.682195191224925e-06,0.0010511493842146242,349.78190047905485,349.78190047905485,349.78190047905485
daily_zoom,no_detectable_drift,exclusive_location,none,4,470,0.0017478807760723275,0.024347528372748034,4.1138250807484504e-08,0.0009721251357727478,349.44759976929873,349.44759976929873,349.44759976929873
daily_zoom,no_detectable_drift,exclusive_location,none,5,470,0.0017478807760723275,0.024347528372748034,1.1361732005206144e-06,0.0009118257849289715,348.93570772374034,348.93570772374034,348.93570772374034
daily_zoom,no_detectable_drift,exclusive_location,none,6,470,0.0017478807760723275,0.024347528372748034,2.474789403062146e-07,0.0008732516723173481,348.6867254402465,348.6867254402465,348.6867254402465
daily_zoom,no_detectable_drift,exclusive_location,none,7,470,0.0017478807760723275,0.024347528372748034,5.7133615363212565e-08,0.0008371435949514767,348.2940855920922,348.2940855920922,348.2940855920922
daily_zoom,no_detectable_drift,exclusive_location,none,8,470,0.0017478807760723275,0.024347528372748034,-1.917387161963529e-07,0.0008067521804181063,348.18333031611957,348.18333031611957,348.18333031611957
daily_zoom,no_detectable_drift,exclusive_location,none,9,470,0.0017478807760723275,0.024347528372748034,3.478387042623567e-07,0.0007866823718559533,347.5489209764679,347.5489209764679,347.5489209764679
daily_zoom,no_detectable_drift,exclusive_location,none,10,470,0.0017478807760723275,0.024347528372748034,-5.9445554848805667e-08,0.0007774897394293188,347.4167661855995,347.4167661855995,347.4167661855995
daily_zoom,no_detectable_drift,exclusive_location,none,11,470,0.0017478807760723275,0.024347528372748034,3.8894104204521833e-07,0.0007665038011674376,347.2429783590472,347.2429783590472,347.2429783590472
daily_zoom,no_detectable_drift,exclusive_location,none,12,470,0.0017478807760723275,0.024347528372748034,8.245112441263177e-08,0.0007563655206597852,346.7818006749293,346.7818006749293,346.7818006749293
daily_zoom,no_detectable_drift,exclusive_location,none,13,470,0.0017478807760723275,0.024347528372748034,-1.4207921119792153e-06,0.0007466396039230468,344.6154204799943,344.6154204799943,344.6154204799943
