trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2025-04-16,2025-04-16,389,1.0,1,-0.007203633771063573,-1,0.007203633771063573,16.057842230491488,25.40325335343736,25.40325335343736,3.1859761240333206,3.1859761240333206,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.007203633771063573,0.03790205523000306,63
2025-04-17,2025-04-17,389,1.0,1,-0.007128061881108124,-1,0.007128061881108124,16.30663610574497,27.232138918723,27.232138918723,3.12480918702228,3.12480918702228,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.007128061881108124,0.03785349172278156,63
2025-04-21,2025-04-21,389,1.0,1,-0.009506127610228432,-1,0.009506127610228432,8.113148281910773,4.901332922777533,4.901332922777533,3.66464839087353,3.66464839087353,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.009506127610228432,0.037699511702710596,63
2025-04-22,2025-04-22,389,1.0,1,-0.008482776017500974,-1,0.008482776017500974,15.47527262545756,29.55521538591883,29.55521538591883,2.8465659120977223,2.8465659120977223,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.008482776017500974,0.038058196072603495,63
2025-04-23,2025-04-23,389,1.0,1,-0.0080909021627365,-1,0.0080909021627365,22.508612873735053,50.50310001297859,50.50310001297859,3.167303737460662,3.167303737460662,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0080909021627365,0.03976431491344822,63
2025-04-24,2025-04-24,389,1.0,1,-0.007766552833705621,-1,0.007766552833705621,9.066016970043306,9.224277827828383,9.224277827828383,2.985041271486167,2.985041271486167,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.007766552833705621,0.039693263115674,63
2025-04-25,2025-04-25,389,1.0,1,-0.005243179321389466,-1,0.005243179321389466,14.121726113730878,28.794627792553772,28.794627792553772,2.631673756882135,2.631673756882135,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.005243179321389466,0.039964518742707095,63
2025-04-28,2025-04-28,389,1.0,1,-0.0046711517626561215,-1,0.0046711517626561215,38.03271566105743,74.49770926448876,74.49770926448876,4.406419872184311,4.406419872184311,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0046711517626561215,0.04011667193702898,63
2025-04-29,2025-04-29,389,1.0,1,-0.0018986846879532205,-1,0.0018986846879532205,14.597523667790854,27.782437444844216,27.782437444844216,2.7694531039170105,2.7694531039170105,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0018986846879532205,0.03973565547959246,63
2025-05-02,2025-05-02,389,1.0,1,0.0012949353345405089,1,0.0012949353345405089,22.386609286138537,45.63067932389299,45.63067932389299,3.3140560737960763,3.3140560737960763,1,detectable_upward_drift,detectable_upward_drift,True,,0.0012949353345405089,0.04270899194388202,63
2025-05-05,2025-05-05,389,1.0,1,0.005329821417025141,1,0.005329821417025141,16.71055523511354,36.724636738405465,36.724636738405465,2.757478442826253,2.757478442826253,1,detectable_upward_drift,detectable_upward_drift,True,,0.005329821417025141,0.03892954954040643,63
2025-05-06,2025-05-06,389,1.0,1,0.00686850933187547,1,0.00686850933187547,11.738124932782965,14.850886464193126,14.850886464193126,3.045948376954185,3.045948376954185,1,detectable_upward_drift,detectable_upward_drift,True,,0.00686850933187547,0.03715480787321856,63
2025-05-07,2025-05-07,389,1.0,1,0.006692022410516124,1,0.006692022410516124,25.943034700301716,58.566685521801425,58.566685521801425,3.389966865070436,3.389966865070436,1,detectable_upward_drift,detectable_upward_drift,True,,0.006692022410516124,0.036851925151386355,63
